entity,why
Q1150083,quarter
Q555882,dirt
Q192242,frustration
Q1107656,garden
Q3947,house
Q25107,power
Q158668,private
Q857784,camp
Q3109046,this
Q231823,purpose
Q11379,energy
Q397239,edition
Q161524,mask
Q7565,father
Q216285,chapter
Q1134322,sight
Q845126,difference
Q43261,horizon
Q2386606,right
Q1105534,freeze
Q40231,election
Q35473,window
Q29485,error
Q154425,toe
Q189004,college
Q1772698,affair
Q311681,who
Q817765,path
Q3519259,count
Q12644761,visitor
Q17008256,collection
Q192270,consumption
Q86447,issue
Q40821,surgery
Q208195,pleasure
Q978044,executive
Q11432,gas
Q14710,mount
Q11469,glass
Q5326940,earnings
Q468756,shore
Q39911,decade
Q397,Latin
Q1270787,she
Q239790,United
Q24489,coal
Q1079196,command
Q3088430,resistance
Q39546,tool
Q43193,truck
Q2630146,core
Q1230584,diversity
Q132137,icon
Q903577,break
Q52943,conversation
Q652,Italian
Q3087607,sweet
Q159394,defendant
Q1499786,climb
Q17285,plane
Q7566,parent
Q7722,morning
Q7063001,notice
Q131288,immigration
Q41415,soup
Q123705,neighborhood
Q7364,eye
Q331481,cover
Q339587,ban
Q37425,knee
Q758238,attribute
Q11264559,heritage
Q525155,contact
Q1274115,responsibility
Q4,death
Q1630279,guideline
Q1072012,international
Q80973,breakfast
Q19833559,preparation
Q3885844,origin
Q327055,worker
Q2165236,everything
Q8134,economics
Q482994,album
Q10911683,serve
Q152574,coat
Q22855,consumer
Q42889,vehicle
Q83267,crime
Q174834,authority
Q726,horse
Q1824143,delivery
Q484298,surface
Q17991521,tale
Q5113,bird
Q875157,resort
Q464980,exhibition
Q1445650,holiday
Q1153773,out
Q4116378,confidence
Q338754,control
Q1851760,victim
Q9644,joint
Q289891,enemy
Q93352,coast
Q283102,afternoon
Q749212,gentleman
Q1812346,legacy
Q13428325,breath
Q177053,Mr
Q6266,nation
Q1682108,vision
Q1503211,pine
Q190685,PC
Q128234,case
Q736288,rate
Q1362683,expectation
Q169545,tire
Q658371,extra
Q11707,restaurant
Q13196750,left
Q182832,concert
Q194112,value
Q7363,nose
Q703087,provision
Q56289743,counselor
Q47541952,producer
Q1318370,term
Q131841,idea
Q8094,wind
Q4290,investment
Q406714,air
Q1379672,evaluation
Q613299,statement
Q2180428,pole
Q40831,comedy
Q7366,song
Q3754526,administration
Q5891,philosophy
Q3071551,pride
Q1251441,leader
Q1799916,hold
Q9073584,increase
Q387834,thing
Q130768,smoke
Q172226,ski
Q943,yellow
Q625525,video
Q361698,page
Q2858150,aside
Q3732574,mistake
Q1124733,take
Q178651,interview
Q946865,retirement
Q80994,adult
Q2796622,mean
Q500062,magnitude
Q15262084,procedure
Q53060,gate
Q1063,evolution
Q13360264,pie
Q658274,menu
Q330946,blade
Q121594,professor
Q643352,grass
Q202805,combination
Q201788,historian
Q14745,furniture
Q7695,march
Q179076,exchange
Q49776,strike
Q816741,porch
Q878070,duty
Q11410,game
Q170924,interest
Q862761,interior
Q865588,committee
Q457875,extension
Q193432,fan
Q1378024,lady
Q44167,engine
Q1070421,script
Q11765,fee
Q2346003,sector
Q83460,general
Q623,carbon
Q7187,gene
Q2066131,athlete
Q192630,past
Q380640,tip
Q599151,official
Q496997,indication
Q1069931,last
Q18089644,guest
Q1920566,answer
Q1366722,final
Q132041,key
Q45364,wing
Q7619904,storage
Q16280097,version
Q1410110,branch
Q1294755,craft
Q1794067,place
Q854659,gain
Q2637814,shelf
Q345096,less
Q57216,plate
Q1577757,link
Q987767,container
Q8261,novel
Q190507,hope
Q29142,attempt
Q3030248,discussion
Q8016240,trial
Q811491,boom
Q93586,feature
Q1073,brain
Q600751,prosecutor
Q379833,lesson
Q41298,magazine
Q11348,function
Q17278,circle
Q7873,blood
Q219239,recipe
Q1050303,downtown
Q1196074,he
Q188968,perspective
Q226324,Indian
Q188572,fact
Q477494,sheet
Q1068543,chamber
Q52105,habitat
Q37055,independence
Q380075,advocate
Q935526,joy
Q7949,truth
Q1058733,support
Q315364,transfer
Q173387,grave
Q17737,theory
Q1419626,tube
Q132311,fantasy
Q171558,accident
Q7974,Asian
Q13191,orange
Q33231,photographer
Q323336,factor
Q1248784,airport
Q9128,light
Q2488752,earth
Q321767,pocket
Q39552,pressure
Q12002092,welfare
Q20204151,hole
Q11755381,trick
Q179448,noise
Q382571,association
Q718893,theater
Q3031,girl
Q713493,hit
Q1578,cigarette
Q6014548,incident
Q133673,spin
Q83180,roof
Q622747,quarterback
Q522344,score
Q920915,emphasis
Q195742,sweep
Q462437,composition
Q137823,monitor
Q294600,AM
Q93288,contract
Q1051925,resolution
Q73368,online
Q170219,sake
Q421744,act
Q11446,ship
Q8445,marriage
Q690194,suggestion
Q170406,rhythm
Q7087,consciousness
Q349,sport
Q7434,uniform
Q870,train
Q308194,daughter
Q1137224,draw
Q204776,bench
Q79007,street
Q8495,milk
Q51647,mission
Q5638,bus
Q2868277,associate
Q7783619,they
Q1202245,potential
Q208160,courage
Q358827,administrator
Q170584,project
Q849964,jacket
Q489398,reach
Q81054,storm
Q13228,cream
Q201097,basket
Q42962,oil
Q36794,door
Q331769,mood
Q1312,spring
Q571,book
Q133346,border
Q6055890,funding
Q12078,cancer
Q12876,tank
Q3499072,chef
Q3962655,opinion
Q1080137,troop
Q657221,dinner
Q12888920,choice
Q208123,deck
Q15116915,show
Q759916,service
Q37038,advertising
Q186619,argument
Q1151419,sacred
Q170774,miracle
Q3026787,saying
Q133250,sequence
Q83500,intelligence
Q253509,more
Q68,computer
Q774228,requirement
Q1297322,satellite
Q721834,manager
Q18733,recall
Q209465,campus
Q428148,regulation
Q12136,disease
Q1845,Bible
Q342240,Democrat
Q5195029,current
Q240854,hall
Q37172,wave
Q2397733,pile
Q12725,electricity
Q595597,negative
Q23390,deer
Q1358789,senior
Q7569,child
Q213381,generation
Q11540953,search
Q28196260,alcohol
Q7710078,than
Q24384,season
Q542929,product
Q830036,shopping
Q8253,fiction
Q687900,cool
Q107425,landscape
Q321839,agreement
Q183366,territory
Q41551,pipe
Q1472481,spread
Q208826,height
Q518390,nod
Q12147,health
Q10294,poverty
Q9465,ethics
Q595094,sister
Q654693,beat
Q60322905,pop
Q160342,track
Q283916,cut
Q188075,box
Q1492760,teenager
Q13582404,danger
Q159904,affect
Q2006082,sun
Q1938414,taxpayer
Q101072,definition
Q166142,application
Q663143,production
Q284243,touch
Q167037,corporation
Q49906,sample
Q3914,school
Q8148,industry
Q2085381,publisher
Q7727,minute
Q779859,equipment
Q1640172,pay
Q2986261,commercial
Q524080,split
Q188823,scholarship
Q30461,president
Q327245,team
Q502261,silence
Q48282,student
Q170212,patient
Q1028181,painter
Q37260,writing
Q7174,democracy
Q184260,mortgage
Q282049,career
Q33999,actor
Q472160,scope
Q8502,mountain
Q7478101,we
Q525344,confusion
Q21546392,garlic
Q12896105,lunch
Q9332,behavior
Q198,war
Q262246,sign
Q36180,writer
Q206021,flight
Q679,west
Q9788,letter
Q1490716,pregnancy
Q8054,protein
Q9238344,grandfather
Q159810,economy
Q23397,lake
Q1979154,model
Q275186,gang
Q44537,Christian
Q5,human
Q157811,virtue
Q10987,honey
Q60960,tail
Q1365641,balance
Q18545,ball
Q18185,grade
Q179057,explosion
Q41487,court
Q131514,couch
Q625420,perfect
Q630830,era
Q175385,population
Q18054140,collapse
Q169489,security
Q630649,meter
Q382386,vessel
Q16358610,instructor
Q3236990,self
Q212878,husband
Q741252,exhibit
Q666258,platform
Q876065,double
Q22698,park
Q849829,cope
Q17104930,outcome
Q28510,respect
Q1046315,level
Q1075,color
Q7362,ear
Q667,south
Q485178,analyst
Q842046,check
Q2248623,scholar
Q850210,revenue
Q34516,imagination
Q392326,club
Q617224,wear
Q234460,text
Q468388,boss
Q16917,hospital
Q908656,preference
Q131572,refugee
Q44946,point
Q3010,boy
Q259059,household
Q1643184,help
Q6095429,pass
Q214252,stable
Q1088,blue
Q192797,elite
Q317949,activity
Q2995644,result
Q728,weapon
Q5167661,justice
Q521994,hide
Q8434,education
Q976981,formula
Q750449,flow
Q124490,violence
Q200266,handle
Q836316,Olympic
Q34302,doubt
Q899391,dominant
Q35760,essay
Q169872,symptom
Q14373,fishing
Q1,universe
Q61509,travel
Q830337,prior
Q628523,message
Q7561,snow
Q640506,cabinet
Q42848,data
Q17147,egg
Q11035,telephone
Q27905,suit
Q40953,prayer
Q37654,market
Q974144,educator
Q6881511,enterprise
Q3568,focus
Q15026,chair
Q680499,screen
Q344,future
Q8074,cloud
Q515,city
Q4281830,mark
Q300918,cat
Q31029,rope
Q129235,Soviet
Q205663,process
Q23009870,cousin
Q13516686,expense
Q189964,felt
Q207333,honor
Q24716636,volunteer
Q2695280,technique
Q1255828,controversy
Q5307897,drive
Q59486,Senate
Q621184,problem
Q47223,birthday
Q1228599,section
Q1241356,record
Q213441,shop
Q677,iron
Q315,language
Q1758159,agenda
Q636109,property
Q28472,hair
Q193078,injury
Q177239,limit
Q267984,fourth
Q17563434,target
Q195,chocolate
Q12684,fashion
Q852061,champion
Q185958,float
Q278368,user
Q340709,shrug
Q878249,alliance
Q11002,sugar
Q133500,learning
Q2186896,estate
Q5410500,faith
Q23640,head
Q6256,country
Q2141565,situation
Q58968,intellectual
Q1148747,payment
Q583271,medium
Q7802,bread
Q179661,treatment
Q36161,set
Q499525,structure
Q2095,food
Q82821,tradition
Q799,wisdom
Q80151,hat
Q170518,burn
Q335925,bottom
Q601401,trade
Q178794,watch
Q1247195,mystery
Q7001368,flat
Q659390,construct
Q37017,face
Q998,baby
Q124964,coalition
Q8486,coffee
Q1355665,concentrate
Q1144201,collect
Q9200127,member
Q4358176,council
Q553,tooth
Q3686031,concentration
Q13557414,recording
Q270952,cold
Q1187312,yesterday
Q7737,Russian
Q183046,meaning
Q46744,understanding
Q124072,rifle
Q1798167,coverage
Q3957,town
Q40843,cross
Q4967012,brief
Q5727902,circa
Q10998,potato
Q381160,expert
Q316,love
Q9415,emotion
Q144,dog
Q24075297,fate
Q25379,play
Q849811,British
Q899301,yield
Q11652,frequency
Q174647,heel
Q32032,net
Q44377,tunnel
Q203066,relation
Q13235160,manufacturer
Q622645,attitude
Q224952,suspect
Q139680,snap
Q1196258,testimony
Q173106,network
Q244700,ultimate
Q461674,becoming
Q679989,complex
Q247792,progress
Q4202277,enforcement
Q42240,research
Q646462,cable
Q7257997,survey
Q309100,planning
Q500834,tournament
Q40080,beach
Q8514,desert
Q1311,winter
Q131569,treaty
Q593676,pale
Q7163,politics
Q8425,society
Q331710,fitness
Q3142800,source
Q102538,company
Q1773152,participation
Q1052451,orientation
Q1364,fruit
Q35865,inflation
Q11060274,print
Q4352352,step
Q193837,bedroom
Q1200750,description
Q215627,person
Q186361,punishment
Q10289,barrel
Q679087,campaign
Q618804,bear
Q3348297,observer
Q703534,employee
Q1631996,how
Q5164591,consultant
Q1433373,other
Q6501338,attention
Q2885682,barrier
Q11004,vegetable
Q5852,blanket
Q10675206,ingredient
Q656365,employment
Q1781600,Congress
Q1210093,over
Q2574811,cause
Q80687,secretary
Q3711325,speed
Q251777,custom
Q2002583,tablespoon
Q166231,infection
Q4402708,demand
Q58778,system
Q5377,golf
Q491498,fortune
Q42909,reporter
Q1145381,round
Q44,beer
Q386905,familiar
Q44649,ideal
Q276258,childhood
Q621695,blame
Q1165897,you
Q697327,lawsuit
Q820477,mine
Q32098,sanction
Q173799,entertainment
Q154430,anxiety
Q6430706,critic
Q160151,price
Q378408,initial
Q429220,pink
Q134560,belt
Q1048607,conviction
Q134556,single
Q13217555,background
Q9418,psychology
Q43164,kitchen
Q190,God
Q106526,short
Q4233220,master
Q298460,UTC
Q200538,party
Q228563,Republican
Q132050,governor
Q217602,analysis
Q137372,agent
Q240673,cost
Q444184,recovery
Q322481,size
Q131395,dialogue
Q205961,skill
Q350205,income
Q492,memory
Q11563,number
Q206887,civilian
Q10737,suicide
Q35758,matter
Q1541554,yes
Q180684,conflict
Q1363761,hang
Q684,east
Q14290559,guide
Q41650356,billion
Q1274979,creature
Q189756,question
Q11663,weather
Q101965,experiment
Q127197,bomb
Q116213,vacation
Q918385,training
Q7432,species
Q151885,concept
Q1436482,worry
Q1377846,save
Q533047,rose
Q2743326,figure
Q34172,butter
Q5287,Japanese
Q1355298,examination
Q11436,aircraft
Q618536,candidate
Q3143131,pepper
Q742407,assist
Q83307,minister
Q160289,hearing
Q11424,film
Q2001588,palm
Q5090,rice
Q997419,closer
Q15614918,that
Q121769,reference
Q641118,personality
Q81050,eight
Q133105,leg
Q595523,notion
Q190868,boot
Q959298,intervention
Q2565881,bet
Q709123,sort
Q200539,dress
Q11460,clothing
Q170494,body
Q483247,phenomenon
Q40357,prison
Q759676,task
Q43229,organization
Q32489,knife
Q39631,physician
Q1255864,fun
Q3481047,ratio
Q1229501,distinction
Q35872,boat
Q12140,medication
Q808,virus
Q1323314,bag
Q23387,week
Q564,hell
Q693944,grain
Q913999,load
Q4197743,player
Q2095727,pot
Q211391,weekend
Q1714153,adjustment
Q210027,exposure
Q9635,mouth
Q13473501,collective
Q10931,revolution
Q3120038,proper
Q3526964,giant
Q1210151,run
Q9614,tongue
Q2566598,religious
Q160020,shadow
Q39809,marketing
Q33767,hand
Q28692681,stop
Q76469,tear
Q909380,stock
Q633423,rail
Q14819852,birth
Q319622,saving
Q600134,course
Q46970,airline
Q732577,publication
Q902342,discovery
Q161,fiber
Q897,gold
Q54050,hill
Q6468673,lack
Q27318,test
Q865811,distribution
Q207137,curriculum
Q2125243,wide
Q11574,second
Q118819,pitch
Q228436,tension
Q170198,series
Q79719,license
Q34486,helicopter
Q1076566,ordinary
Q9103,breast
Q45529,ghost
Q76768,shirt
Q1774898,clinic
Q42213,work
Q41719,hypothesis
Q1759167,study
Q1362362,wake
Q483225,race
Q273120,protest
Q1155838,correspondent
Q140565,sink
Q219160,couple
Q36348,dream
Q7958,explanation
Q17522177,age
Q196939,witness
Q345847,investigation
Q693464,cash
Q169207,discrimination
Q656784,rank
Q185359,union
Q1318295,narrative
Q1064858,desk
Q1034411,efficiency
Q16502,world
Q185674,field
Q313354,hundred
Q983927,major
Q1174599,attack
Q194489,salary
Q3026325,slide
Q154558,corn
Q221673,host
Q467011,invasion
Q3305213,painting
Q446,wheel
Q1090,silver
Q5038191,card
Q45767,competition
Q443767,mess
Q379813,bean
Q677393,intention
Q14660,flag
Q466707,utility
Q366134,chest
Q93190,divorce
Q483501,artist
Q733553,channel
Q81938,pain
Q2251595,protection
Q162244,hero
Q1061524,intensity
Q217451,PM
Q7275,state
Q155656,will
Q702269,professional
Q124794,taste
Q11461,sound
Q190139,talent
Q605704,dozen
Q2648051,obligation
Q207766,lawn
Q205555,feeling
Q7632586,success
Q22731,stone
Q3133,green
Q1243001,fine
Q214609,material
Q9620,nerve
Q3710,foot
Q7993606,while
Q7560,mother
Q8441,man
Q2627975,ceremony
Q639669,musician
Q621114,classroom
Q467,woman
Q17955,criticism
Q528166,client
Q22687,bank
Q42177,bed
Q180516,room
Q3707858,type
Q1315911,discipline
Q906409,maintenance
Q7987,mouse
Q204170,darkness
Q1260632,content
Q35197,mirror
Q131596,farm
Q188224,mode
Q1541064,smell
Q1062856,anniversary
Q7925,rain
Q3918,university
Q18029574,colleague
Q461499,transformation
Q879844,rest
Q638,music
Q214339,role
Q62637727,what
Q1758037,speaker
Q101401,bell
Q362482,operation
Q738168,pattern
Q5633897,tourist
Q41500,root
Q321102,trace
Q55919789,tendency
Q1514415,trend
Q15328,camera
Q218734,if
Q7140693,partner
Q1456832,offense
Q40763,seed
Q235544,flame
Q7725,evening
Q184753,wound
Q11471,time
Q37226,teacher
Q11423,mass
Q3297804,edge
Q49850,journal
Q733541,consequence
Q775842,desire
Q80228,bottle
Q25372,drama
Q901,scientist
Q2154246,shooting
Q2164233,sustain
Q170544,tent
Q899641,lean
Q41583,coach
Q60918,commission
Q9142,Irish
Q872,radio
Q187860,option
Q180958,faculty
Q133311,tribe
Q10884,tree
Q160464,button
Q432449,carry
Q381072,crisis
Q192276,measure
Q9235758,grandmother
Q304940,GMT
Q3021489,delay
Q169534,division
Q105674,running
Q23856,top
Q523,star
Q614467,brush
Q7401,part
Q3,life
Q1403016,arrest
Q40348,lawyer
Q193291,spirit
Q23392,ice
Q267917,parking
Q182076,credit
Q170079,minor
Q37105,line
Q2388316,public
Q188889,code
Q1050563,nice
Q336,science
Q186360,nurse
Q246868,lot
Q36253,length
Q127771,fighter
Q5369,baseball
Q42948,wall
Q31603,draft
Q346146,facility
Q176763,evidence
Q1554231,resource
Q10870555,report
Q49848,document
Q194428,stage
Q1366302,row
Q189539,loan
Q4440864,dimension
Q905424,range
Q5320,switch
Q38695,cooking
Q1404101,fellow
Q32090,lifestyle
Q742368,block
Q4173974,flavor
Q7430,DNA
Q156839,cook
Q37726,army
Q491,friendship
Q3769186,judgment
Q2542618,sharp
Q8473,military
Q22657,concrete
Q10861465,brother
Q7555845,solar
Q778379,expression
Q1862087,prisoner
Q2097233,station
Q1913301,produce
Q1421509,mere
Q815844,method
Q150,French
Q127980,fat
Q2328086,guarantee
Q283937,at
Q287,wood
Q190095,gray
Q18204,class
Q28640,profession
Q848346,fade
Q1414142,fill
Q1474611,plot
Q527,sky
Q12483,statistics
Q11190,medicine
Q859257,fly
Q19100,captain
Q674413,tell
Q23445,black
Q7283,terrorism
Q938236,panel
Q756,plant
Q107,space
Q3352140,one
Q728646,partnership
Q10990,meat
Q2532754,achievement
Q47521,stream
Q23442,island
Q1156895,nomination
Q169336,mixture
Q686822,bill
Q319604,passenger
Q3249878,like
Q3107473,Jew
Q206864,kick
Q4213,telescope
Q335320,finger
Q200801,topic
Q602418,segment
Q7886,lung
Q746549,dish
Q2112073,profit
Q1271511,standard
Q208084,aspect
Q660818,league
Q1020994,citizen
Q5119,capital
Q543694,jet
Q240313,battery
Q98381241,contest
Q45701,waste
Q719395,category
Q23501,tomato
Q506,flower
Q21004260,inquiry
Q133279,back
Q160402,perception
Q4382010,profile
Q8038397,write
Q516021,proof
Q2761147,meeting
Q58179319,stranger
Q367293,convention
Q164359,experience
Q11028,information
Q182060,office
Q75,Internet
Q573,day
Q1930187,journalist
Q4323994,traffic
Q374105,via
Q32483,character
Q1072430,die
Q8171,word
Q875399,boundary
Q9430,ocean
Q47740,Muslim
Q4002659,officer
Q707125,threat
Q126731,bullet
Q188094,economist
Q193891,veteran
Q930412,depth
Q1650915,researcher
Q1417516,pilot
Q1093742,lemon
Q732833,decision
Q2374066,powder
Q41796,sentence
Q1714828,hunter
Q211236,celebrity
Q11402,force
Q5070802,emergency
Q729,animal
Q925783,instruction
Q4022,river
Q11426,metal
Q47694,proportion
Q5994,piano
Q11692,share
Q484275,leadership
Q318,galaxy
Q2920921,management
Q334600,practice
Q617332,setting
Q977433,wonder
Q543461,charge
Q152,fish
Q11466,temperature
Q201676,funeral
Q82955,politician
Q79871,anger
Q28575,county
Q7075,library
Q230788,grant
Q235282,moral
Q44342,legend
Q1983062,episode
Q1414816,incentive
Q190539,discourse
Q3150770,influence
Q1664689,instance
Q644302,motivation
Q9420,thinking
Q3053337,employer
Q7460262,shade
Q8242,literature
Q1055293,multiple
Q15290,good
Q11023,engineering
Q286576,register
Q125191,photograph
Q9510,reality
Q561457,carrier
Q10967832,expose
Q481609,damage
Q265868,bone
Q478798,image
Q260899,shot
Q1292119,style
Q305178,introduction
Q48277,gender
Q39297,volume
Q23444,white
Q12370,salt
Q380962,cooperation
Q376,clock
Q263478,note
Q44619,fear
Q27948,list
Q1141067,comment
Q28390,degree
Q836925,complaint
Q106658,district
Q1247867,housing
Q463180,American
Q618779,award
Q6091500,it
Q3142,red
Q866650,bite
Q557880,investor
Q11019,machine
Q1179073,prescription
Q181820,file
Q551997,wire
Q207961,shape
Q15253558,activist
Q1968967,leading
Q508295,account
Q18530,goal
Q454839,ticket
Q203872,being
Q164,square
Q835400,combine
Q290042,turn
Q900406,reform
Q40050,drink
Q42973,architect
Q269949,highway
Q7315941,respondent
Q333173,surprise
Q4489450,heaven
Q1029907,stomach
Q188830,wife
Q7743,home
Q11427,steel
Q11020,pool
Q187939,manufacturing
Q708,lead
Q611203,plan
Q10971443,stick
Q1436130,still
Q282939,scene
Q358362,PDT
Q36963,hunting
Q1308239,buyer
Q795052,individual
Q178354,reason
Q178359,sauce
Q1695023,alternative
Q202581,label
Q1656682,event
Q105562,opposition
Q7188,government
Q656720,workshop
Q8452,abortion
Q190429,depression
Q319608,address
Q12547146,immigrant
Q278818,must
Q11693,bond
Q377213,defense
Q208218,patch
Q437408,CEO
Q179651,scale
Q11349590,resist
Q7493941,shelter
Q49836,wedding
Q42603,priest
Q431289,brand
Q13276,cake
Q1606712,transition
Q300867,make
Q107313420,chance
Q379825,element
Q178061,shock
Q1385033,exterior
Q1758639,pack
Q206361,concern
Q329777,appeal
Q233646,growth
Q9633,neck
Q1162163,director
Q1039416,frame
Q690182,contrast
Q592,gay
Q188,German
Q14748,table
Q3422036,recognition
Q1436734,adventure
Q185957,quality
Q185056,radical
Q96399581,please
Q100995,pound
Q456673,charity
Q16363,shoulder
Q385378,construction
Q80071,symbol
Q15464334,straight
Q50000,victory
Q11024,communication
Q175026,object
Q313549,Mrs
Q11352,angle
Q4115667,impact
Q343546,reaction
Q5574688,go
Q52948,interaction
Q101843,period
Q634,planet
Q9174,religion
Q974850,missile
Q37507,match
Q153988,bowl
Q33506,museum
Q13109234,welcome
Q628179,trail
Q188507,apartment
Q929848,movement
Q216425,teaspoon
Q206621,drag
Q739168,position
Q431165,scheme
Q44432,heat
Q4421,forest
Q126017,distance
Q185789,drop
Q43483,well
Q193181,observation
Q114633,find
Q11639,dance
Q82799,name
Q177220,singer
Q18193,form
Q365680,assault
Q41176,building
Q2068602,penalty
Q7868,cell
Q285726,dig
Q1074500,chip
Q165939,reflection
Q1299714,habit
Q36133,soil
Q7860,nature
Q2743,musical
Q515895,odds
Q241625,wish
Q193168,present
Q16364,throat
Q3924150,neighbor
Q247299,counter
Q659974,trust
Q1368,money
Q82604,design
Q2360918,piece
Q125356,saw
Q691543,pace
Q83405,factory
Q3312801,permit
Q365184,ground
Q4830453,business
Q196626,context
Q254474,identity
Q12453,measurement
Q578,century
Q104837,phase
Q6501319,proposal
Q173253,sense
Q25288,weight
Q2039217,identification
Q289,television
Q79405,Arab
Q11438,solid
Q104482419,survival
Q8104,atmosphere
Q833734,tone
Q385848,African
Q34679,sand
Q7390,voice
Q13365589,principal
Q25235,hour
Q200535,wealth
Q1209716,tomorrow
Q2159907,criminal
Q178561,battle
Q16354816,elsewhere
Q427711,till
Q468777,existence
Q217086,story
Q1937518,reservation
Q2025821,opening
Q265158,review
Q157031,foundation
Q24994,safety
Q1722555,steal
Q11472,paper
Q429571,brilliant
Q43656,cholesterol
Q123704,swing
Q8386,drug
Q184303,gift
Q471898,safe
Q622404,boyfriend
Q345367,social
Q131138,joke
Q318028,shell
Q187931,phrase
Q516626,terror
Q19809,Christmas
Q36602,order
Q7850,Chinese
Q165632,dust
Q11474,plastic
Q6147804,cap
Q1202008,schedule
Q98815142,hello
Q43183,insurance
Q12280,bridge
Q1156854,policy
Q578508,try
Q185451,strategy
Q2046512,pair
Q189569,basis
Q683979,standing
Q217164,floor
Q47089,fault
Q638982,moment
Q659,north
Q175331,demonstration
Q294083,editor
Q450,mind
Q482980,author
Q1313396,headline
Q7748,law
Q912546,reduction
Q2992075,conclusion
Q286,leather
Q33971,leaf
Q8161,tax
Q1344851,consideration
Q22857,climbing
Q2137554,direction
Q179875,debate
Q12202,stroke
Q3196867,debt
Q3151690,today
Q118084,unit
Q8365495,fit
Q25113,guard
Q1433533,reader
Q4817,column
Q11016,technology
Q2472587,people
Q1051976,route
Q194189,sales
Q4338318,awareness
Q207326,summit
Q40089,brick
Q833053,theme
Q6136054,guess
Q736917,formation
Q280658,forward
Q24091434,freedom
Q184754,string
Q9893,I
Q36539,oven
Q1150070,change
Q216353,title
Q378078,substance
Q7397,software
Q10942718,actress
Q132821,murder
Q79782,motion
Q43471,arm
Q11500,area
Q46847,ring
Q224169,fifth
Q7863,shower
Q25392373,fund
Q245595,cycle
Q1090839,scenario
Q93184,drawing
Q1970348,luck
Q104493,risk
Q5151,month
Q1553259,insight
Q49371,legislation
Q870860,claim
Q1757710,cluster
Q482798,yard
Q605035,strength
Q1072,heart
Q1566,tobacco
Q532,village
Q1416670,cabin
Q31924,connection
Q34442,road
Q15173,lip
Q6097,tea
Q224074,third
Q221706,ceiling
Q202785,average
Q91165,keep
Q38926,news
Q970397,Canadian
Q14944328,example
Q349047,thought
Q76557,uncle
Q656656,tap
Q32043,addition
Q600571,abuse
Q1928883,slip
Q190258,need
Q44782,port
Q487,smile
Q309,history
Q1055911,tactic
Q947731,tie
Q345844,crew
Q211198,audience
Q3352472,creation
Q192909,scandal
Q1151067,rule
Q1276686,lap
Q40397,tissue
Q103510,bar
Q1444210,roll
Q1074,skin
Q148571,fence
Q1202506,win
Q39201,pet
Q584804,capacity
Q210439,interpretation
Q47038,cheek
Q2132873,advice
Q164573,subject
Q643589,department
Q483242,laboratory
Q604733,presentation
Q552299,chain
Q735,art
Q914681,prime
Q56274009,looking
Q165,sea
Q80930,tragedy
Q177634,community
Q3400985,academic
Q519,shit
Q837675,jury
Q2976603,classic
Q193818,hip
