entity,why
Q8805,bit
Q46737,asset
Q290,sex
Q131030,operator
Q778384,display
Q7969813,warning
Q14467155,gaze
Q83306,group
Q1430466,escape
Q50701,variable
Q5322166,designer
Q25075,center
Q192581,job
Q1367353,comfort
Q154242,nothing
Q11193,base
Q524980,commander
Q174984,signal
Q194433,lift
Q3663782,Catholic
Q780,chicken
Q138,king
Q846785,action
Q288514,fair
Q4925193,lie
Q1183543,device
Q542869,supply
Q169031,glove
Q1049658,flesh
Q2256933,crack
Q1079023,championship
Q474191,diet
Q9165,soul
Q11009,nut
Q1308999,restriction
Q16533,judge
Q41263,budget
Q1671968,pose
Q932410,session
Q63226770,initiative
Q22733,garage
Q202875,negotiation
Q22676,shoe
Q7540126,headquarters
Q15686806,senator
Q212980,psychologist
Q7307,kiss
Q167412,settlement
Q220869,shoot
Q34394,belief
Q199657,reading
Q283834,kill
Q577714,comparison
Q1313,summer
Q341320,Supreme
Q12730238,ie
Q188728,privacy
Q873506,index
Q41191,no
Q5589178,regime
Q335046,passion
Q27686,hotel
Q1321,Spanish
Q12827256,myth
Q11042,culture
Q8492,juice
Q177232,son
Q12518,tower
Q282,wine
Q3496332,staff
Q517596,mechanism
Q4982800,buck
Q11457,cotton
Q2085066,land
Q283,water
Q899192,front
Q11588367,shake
Q30185,mayor
Q8436,family
Q569612,technical
Q7382648,majority
Q5447188,solution
Q174219,paint
Q60227,sin
Q577,year
Q12131,disability
Q805079,bend
Q852835,customer
Q178706,institution
Q188248,constant
Q34876,province
Q123414,stress
Q1890036,rush
Q11422,toy
Q352388,driver
Q35535,police
Q247976,studio
Q159979,twin
Q6821213,wage
Q35140,performance
Q5034466,capability
Q52946,speech
Q39816,valley
Q1329910,view
Q9266,salad
Q11158,acid
Q134307,portrait
Q352842,teaching
Q9081,knowledge
Q47071,brown
Q6060613,invest
Q11748378,cow
Q332340,absolute
Q10943,cheese
Q13266,cookie
Q902501,date
Q470540,seat
Q4991371,soldier
Q1055894,deputy
Q767728,variety
Q26382,side
Q379755,arrangement
Q725975,supporter
Q214934,crop
Q81727,cup
Q371174,gesture
Q182,English
Q49845,mail
Q190007,youth
Q454,peace
Q1272626,representation
Q81096,engineer
Q3196,fire
Q103184,article
Q202064,phone
Q58734,pollution
Q1425577,promise
Q575,night
Q4006,map
Q202722,consensus
Q1572519,environment
Q3436010,moderate
Q4153227,gap
Q3880557,objective
Q1121708,failure
Q211364,principle
Q6673651,literary
Q8063,rock
Q528892,occupation
Q11032,newspaper
Q625360,margin
Q337349,honesty
Q190771,bathroom
Q7242,beauty
Q7983223,were
Q659600,launch
Q172560,throw
Q49835,girlfriend
Q740002,TV
Q35831,sleep
Q105731,lock
Q376895,as
Q352450,agency
Q131512,farmer
Q28923,chart
Q13430821,crowd
inverted_kb = t.invert_kb(lang='en')
df = df
df = pd.read_csv('data/interim/wikidatamatcher/entities_remove.csv')
df['why'] = [o.strip() for o in df['why']]
df = df.sort_values(by='why')
df = df[~df.duplicated()]
for i, row in df.iterrows():
    print(f"{row['entity']},{row['why']}")
Q294600,AM
Q385848,African
Q463180,American
Q79405,Arab
Q7974,Asian
Q1845,Bible
Q849811,British
Q437408,CEO
Q970397,Canadian
Q3663782,Catholic
Q3593688,Center of Test Evaluation Program Selection and Placement
Q7850,Chinese
Q44537,Christian
Q19809,Christmas
Q1781600,Congress
Q7430,DNA
Q342240,Democrat
Q182,English
Q150,French
Q304940,GMT
Q188,German
Q190,God
Q9893,I
Q226324,Indian
Q75,Internet
Q9142,Irish
Q652,Italian
Q5287,Japanese
Q3107473,Jew
Q397,Latin
Q177053,Mr
Q313549,Mrs
Q47740,Muslim
Q836316,Olympic
Q190685,PC
Q358362,PDT
Q217451,PM
Q228563,Republican
Q7737,Russian
Q59486,Senate
Q129235,Soviet
Q1321,Spanish
Q341320,Supreme
Q740002,TV
Q298460,UTC
Q239790,United
Q174193,United Kingdom of Great Britain and Ireland
Q8452,abortion
Q332340,absolute
Q600571,abuse
Q3400985,academic
Q11862829,academic discipline
Q171558,accident
Q508295,account
Q2532754,achievement
Q11158,acid
Q421744,act
Q846785,action
Q15253558,activist
Q317949,activity
Q33999,actor
Q10942718,actress
Q2,Earth
Q12029,addiction
Q32043,addition
Q319608,address
Q1714153,adjustment
Q3754526,administration
Q358827,administrator
Q80994,adult
Q1436734,adventure
Q37038,advertising
Q2132873,advice
Q380075,advocate
Q62447,aerodrome
Q1772698,affair
Q159904,affect
Q283102,afternoon
Q17522177,age
Q352450,agency
Q1758159,agenda
Q137372,agent
Q321839,agreement
Q406714,air
Q11436,aircraft
Q46970,airline
Q1248784,airport
Q482994,album
Q28196260,alcohol
Q878249,alliance
Q1695023,alternative
Q217602,analysis
Q485178,analyst
Q79871,anger
Q11352,angle
Q729,animal
Q80962,animal husbandry
Q1062856,anniversary
Q1920566,answer
Q154430,anxiety
Q188507,apartment
Q329777,appeal
Q166142,application
Q3621491,archaeologist
Q42973,architect
Q11500,area
Q186619,argument
Q43471,arm
Q37726,army
Q379755,arrangement
Q1403016,arrest
Q735,art
Q103184,article
Q483501,artist
Q376895,as
Q2858150,aside
Q208084,aspect
Q365680,assault
Q1752346,assembly
Q46737,asset
Q742407,assist
Q2868277,associate
Q382571,association
Q283937,at
Q2066131,athlete
Q8104,atmosphere
Q1174599,attack
Q29142,attempt
Q6501338,attention
Q622645,attitude
Q758238,attribute
Q211198,audience
Q482980,author
Q174834,authority
Q202785,average
Q618779,award
Q4338318,awareness
Q998,baby
Q133279,back
Q13217555,background
Q1323314,bag
Q1365641,balance
Q18545,ball
Q339587,ban
Q22687,bank
Q103510,bar
Q10289,barrel
Q2885682,barrier
Q11193,base
Q5369,baseball
Q189569,basis
Q201097,basket
Q190771,bathroom
Q240313,battery
Q178561,battle
Q40080,beach
Q379813,bean
Q618804,bear
Q654693,beat
Q7242,beauty
Q461674,becoming
Q42177,bed
Q193837,bedroom
Q44,beer
Q529711,beginning
Q9332,behavior
Q203872,being
Q34394,belief
Q101401,bell
Q134560,belt
Q204776,bench
Q805079,bend
Q2565881,bet
Q686822,bill
Q41650356,billion
Q420,biology
Q5113,bird
Q14819852,birth
Q47223,birthday
Q8805,bit
Q866650,bite
Q23445,black
Q330946,blade
Q621695,blame
Q5852,blanket
Q742368,block
Q7873,blood
Q1088,blue
Q35872,boat
Q170494,body
Q127197,bomb
Q11693,bond
Q265868,bone
Q571,book
Q811491,boom
Q190868,boot
Q133346,border
Q468388,boss
Q80228,bottle
Q335925,bottom
Q875399,boundary
Q153988,bowl
Q188075,box
Q3010,boy
Q622404,boyfriend
Q1073,brain
Q1410110,branch
Q431289,brand
Q7802,bread
Q903577,break
Q80973,breakfast
Q9103,breast
Q13428325,breath
Q40089,brick
Q12280,bridge
Q4967012,brief
Q429571,brilliant
Q15265344,broadcaster
Q10861465,brother
Q47071,brown
Q614467,brush
Q4982800,buck
Q41263,budget
Q41176,building
Q126731,bullet
Q170518,burn
Q5638,bus
Q4830453,business
Q43845,businessperson
Q34172,butter
Q160464,button
Q1308239,buyer
Q1416670,cabin
Q640506,cabinet
Q646462,cable
Q13276,cake
Q15328,camera
Q857784,camp
Q679087,campaign
Q209465,campus
Q12078,cancer
Q618536,candidate
Q6147804,cap
Q5034466,capability
Q584804,capacity
Q5119,capital
Q19100,captain
Q623,carbon
Q5038191,card
Q282049,career
Q561457,carrier
Q432449,carry
Q128234,case
Q693464,cash
Q300918,cat
Q719395,category
Q2574811,cause
Q221706,ceiling
Q211236,celebrity
Q7868,cell
Q25075,center
Q2270380,centre
Q578,century
Q2627975,ceremony
Q552299,chain
Q15026,chair
Q140686,chairperson
Q1068543,chamber
Q852061,champion
Q1079023,championship
Q107313420,chance
Q1150070,change
Q733553,channel
Q216285,chapter
Q32483,character
Q543461,charge
Q456673,charity
Q28923,chart
Q842046,check
Q47038,cheek
Q10943,cheese
Q3499072,chef
Q79529,chemical substance
Q366134,chest
Q780,chicken
Q7569,child
Q276258,childhood
Q1074500,chip
Q195,chocolate
Q12888920,choice
Q43656,cholesterol
Q1578,cigarette
Q5727902,circa
Q17278,circle
Q1020994,citizen
Q515,city
Q206887,civilian
Q870860,claim
Q18204,class
Q2976603,classic
Q621114,classroom
Q528166,client
Q1499786,climb
Q22857,climbing
Q1774898,clinic
Q376,clock
Q997419,closer
Q11460,clothing
Q8074,cloud
Q392326,club
Q1757710,cluster
Q41583,coach
Q24489,coal
Q124964,coalition
Q93352,coast
Q152574,coat
Q152355,cobbler
Q188889,code
Q8486,coffee
Q270952,cold
Q18054140,collapse
Q18029574,colleague
Q1144201,collect
Q17008256,collection
Q13473501,collective
Q189004,college
Q1075,color
Q4817,column
Q202805,combination
Q835400,combine
Q245068,comedian
Q40831,comedy
Q1367353,comfort
Q1079196,command
Q524980,commander
Q1141067,comment
Q2986261,commercial
Q60918,commission
Q865588,committee
Q11024,communication
Q177634,community
Q783794,company
Q102538,company
Q577714,comparison
Q45767,competition
Q836925,complaint
Q679989,complex
Q462437,composition
Q68,computer
Q1355665,concentrate
Q3686031,concentration
Q151885,concept
Q206361,concern
Q182832,concert
Q2992075,conclusion
Q22657,concrete
Q4116378,confidence
Q180684,conflict
Q525344,confusion
Q31924,connection
Q7087,consciousness
Q202722,consensus
Q733541,consequence
Q628403,conservation
Q1344851,consideration
Q188248,constant
Q659390,construct
Q385378,construction
Q5164591,consultant
Q22855,consumer
Q192270,consumption
Q525155,contact
Q987767,container
Q1260632,content
Q98381241,contest
Q196626,context
Q93288,contract
Q690182,contrast
Q338754,control
Q1255828,controversy
Q367293,convention
Q52943,conversation
Q1048607,conviction
Q156839,cook
Q13266,cookie
Q38695,cooking
Q687900,cool
Q380962,cooperation
Q849829,cope
Q2630146,core
Q154558,corn
Q167037,corporation
Q1155838,correspondent
Q240673,cost
Q11457,cotton
Q131514,couch
Q4358176,council
Q56289743,counselor
Q3519259,count
Q247299,counter
Q6256,country
Q28575,county
Q219160,couple
Q208160,courage
Q600134,course
Q41487,court
Q23009870,cousin
Q331481,cover
Q1798167,coverage
Q11748378,cow
Q2256933,crack
Q1294755,craft
Q13228,cream
Q3352472,creation
Q1274979,creature
Q182076,credit
Q345844,crew
Q83267,crime
Q2159907,criminal
Q381072,crisis
Q6430706,critic
Q17955,criticism
Q214934,crop
Q40843,cross
Q13430821,crowd
Q11042,culture
Q81727,cup
Q5195029,current
Q207137,curriculum
Q251777,custom
Q852835,customer
Q283916,cut
Q245595,cycle
Q481609,damage
Q11639,dance
Q13582404,danger
Q204170,darkness
Q42848,data
Q902501,date
Q308194,daughter
Q573,day
Q4,death
Q179875,debate
Q3196867,debt
Q39911,decade
Q732833,decision
Q208123,deck
Q23390,deer
Q159394,defendant
Q377213,defense
Q101072,definition
Q28390,degree
Q3021489,delay
Q1824143,delivery
Q4402708,demand
Q7174,democracy
Q175331,demonstration
Q643589,department
Q190429,depression
Q930412,depth
Q1055894,deputy
Q1200750,description
Q8514,desert
Q82604,design
Q5322166,designer
Q775842,desire
Q1064858,desk
Q182940,dessert
Q1183543,device
Q131395,dialogue
Q1072430,die
Q474191,diet
Q845126,difference
Q285726,dig
Q4440864,dimension
Q657221,dinner
Q2137554,direction
Q1162163,director
Q555882,dirt
Q12131,disability
Q1315911,discipline
Q190539,discourse
Q902342,discovery
Q169207,discrimination
Q3030248,discussion
Q12136,disease
Q746549,dish
Q778384,display
Q126017,distance
Q1229501,distinction
Q865811,distribution
Q106658,district
Q1230584,diversity
Q169534,division
Q93190,divorce
Q49848,document
Q144,dog
Q899391,dominant
Q36794,door
Q876065,double
Q34302,doubt
Q1050303,downtown
Q605704,dozen
Q31603,draft
Q206621,drag
Q25372,drama
Q21010853,drama
Q1137224,draw
Q93184,drawing
Q36348,dream
Q200539,dress
Q40050,drink
Q5307897,drive
Q352388,driver
Q185789,drop
Q8386,drug
Q165632,dust
Q878070,duty
Q7362,ear
Q5326940,earnings
Q2488752,earth
Q684,east
Q1167393,economic indicator
Q13135567,economic loss
Q8134,economics
Q188094,economist
Q159810,economy
Q3297804,edge
Q397239,edition
Q294083,editor
Q8434,education
Q974144,educator
Q1034411,efficiency
Q17147,egg
Q81050,eight
Q40231,election
Q12725,electricity
Q379825,element
Q192797,elite
Q16354816,elsewhere
Q5070802,emergency
Q9415,emotion
Q920915,emphasis
Q703534,employee
Q3053337,employer
Q656365,employment
Q12769393,end
Q289891,enemy
Q11379,energy
Q4202277,enforcement
Q44167,engine
Q81096,engineer
Q11023,engineering
Q6881511,enterprise
Q138858,entertainer
Q173799,entertainment
Q1572519,environment
Q1983062,episode
Q779859,equipment
Q630830,era
Q29485,error
Q1430466,escape
Q35760,essay
Q2186896,estate
Q9465,ethics
Q1379672,evaluation
Q7725,evening
Q1656682,event
Q2165236,everything
Q176763,evidence
Q1063,evolution
Q1355298,examination
Q14944328,example
Q179076,exchange
Q978044,executive
Q741252,exhibit
Q464980,exhibition
Q468777,existence
Q1362683,expectation
Q13516686,expense
Q164359,experience
Q101965,experiment
Q381160,expert
Q7958,explanation
Q179057,explosion
Q10967832,expose
Q210027,exposure
Q778379,expression
Q457875,extension
Q1385033,exterior
Q658371,extra
Q7364,eye
Q37017,face
Q346146,facility
Q188572,fact
Q323336,factor
Q83405,factory
Q180958,faculty
Q848346,fade
Q1121708,failure
Q288514,fair
Q5410500,faith
Q386905,familiar
Q8436,family
Q193432,fan
Q132311,fantasy
Q131596,farm
Q131512,farmer
Q12684,fashion
Q127980,fat
Q24075297,fate
Q7565,father
Q47089,fault
Q44619,fear
Q93586,feature
Q11765,fee
Q205555,feeling
Q1404101,fellow
Q189964,felt
Q148571,fence
Q161,fiber
Q8253,fiction
Q185674,field
Q224169,fifth
Q127771,fighter
Q2743326,figure
Q181820,file
Q1414142,fill
Q11424,film
Q1366722,final
Q114633,find
Q1243001,fine
Q335320,finger
Q3196,fire
Q152,fish
Q14373,fishing
Q8365495,fit
Q331710,fitness
Q14660,flag
Q235544,flame
Q7001368,flat
Q4173974,flavor
Q1049658,flesh
Q206021,flight
Q185958,float
Q217164,floor
Q750449,flow
Q506,flower
Q859257,fly
Q3568,focus
Q2095,food
Q3710,foot
Q11402,force
Q4421,forest
Q18193,form
Q736917,formation
Q976981,formula
Q491498,fortune
Q280658,forward
Q157031,foundation
Q267984,fourth
Q1039416,frame
Q24091434,freedom
Q1105534,freeze
Q11652,frequency
Q491,friendship
Q899192,front
Q1364,fruit
Q192242,frustration
Q1255864,fun
Q11348,function
Q25392373,fund
Q6055890,funding
Q201676,funeral
Q14745,furniture
Q344,future
Q854659,gain
Q318,galaxy
Q11410,game
Q16510064,game might not be a sporting event
Q275186,gang
Q4153227,gap
Q22733,garage
Q1107656,garden
Q21546392,garlic
Q11432,gas
Q53060,gate
Q592,gay
Q14467155,gaze
Q48277,gender
Q7187,gene
Q83460,general
Q213381,generation
Q749212,gentleman
Q371174,gesture
Q45529,ghost
Q3526964,giant
Q184303,gift
Q3031,girl
Q49835,girlfriend
Q11469,glass
Q169031,glove
Q5574688,go
Q18530,goal
Q897,gold
Q5377,golf
Q15290,good
Q7188,government
Q132050,governor
Q18185,grade
Q693944,grain
Q9238344,grandfather
Q9235758,grandmother
Q230788,grant
Q643352,grass
Q173387,grave
Q190095,gray
Q3133,green
Q365184,ground
Q83306,group
Q233646,growth
Q2328086,guarantee
Q25113,guard
Q6136054,guess
Q18089644,guest
Q14290559,guide
Q1630279,guideline
Q1299714,habit
Q52105,habitat
Q28472,hair
Q240854,hall
Q33767,hand
Q200266,handle
Q1363761,hang
Q80151,hat
Q1196074,he
Q23640,head
Q1313396,headline
Q7540126,headquarters
Q12147,health
Q160289,hearing
Q1072,heart
Q44432,heat
Q4489450,heaven
Q174647,heel
Q208826,height
Q34486,helicopter
Q564,hell
Q98815142,hello
Q2985722,help
Q1643184,help
Q11264559,heritage
Q162244,hero
Q521994,hide
Q269949,highway
Q54050,hill
Q193818,hip
Q201788,historian
Q309,history
Q713493,hit
Q1799916,hold
Q20204151,hole
Q1445650,holiday
Q7743,home
Q337349,honesty
Q10987,honey
Q207333,honor
Q190507,hope
Q43261,horizon
Q726,horse
Q16917,hospital
Q221673,host
Q27686,hotel
Q25235,hour
Q3947,house
Q259059,household
Q1247867,housing
Q1631996,how
Q5,human
Q313354,hundred
Q1714828,hunter
Q36963,hunting
Q212878,husband
Q41719,hypothesis
Q23392,ice
Q132137,icon
Q131841,idea
Q44649,ideal
Q2039217,identification
Q254474,identity
Q12730238,ie
Q218734,if
Q478798,image
Q34516,imagination
Q12547146,immigrant
Q131288,immigration
Q4115667,impact
Q1414816,incentive
Q6014548,incident
Q350205,income
Q9073584,increase
Q37055,independence
Q873506,index
Q496997,indication
Q795052,individual
Q8148,industry
Q166231,infection
Q35865,inflation
Q3150770,influence
Q11028,information
Q10675206,ingredient
Q378408,initial
Q63226770,initiative
Q193078,injury
Q21004260,inquiry
Q1553259,insight
Q1664689,instance
Q178706,institution
Q925783,instruction
Q16358610,instructor
Q1278335,instrumentalist
Q43183,insurance
Q58968,intellectual
Q83500,intelligence
Q1061524,intensity
Q677393,intention
Q52948,interaction
Q170924,interest
Q862761,interior
Q1072012,international
Q210439,interpretation
Q959298,intervention
Q178651,interview
Q305178,introduction
Q467011,invasion
Q6060613,invest
Q345847,investigation
Q4290,investment
Q557880,investor
Q677,iron
Q23442,island
Q86447,issue
Q6091500,it
Q849964,jacket
Q543694,jet
Q192581,job
Q9644,joint
Q131138,joke
Q49850,journal
Q1930187,journalist
Q935526,joy
Q16533,judge
Q3769186,judgment
Q8492,juice
Q155076,juridical person
Q837675,jury
Q5167661,justice
Q91165,keep
Q132041,key
Q206864,kick
Q283834,kill
Q138,king
Q7307,kiss
Q43164,kitchen
Q37425,knee
Q32489,knife
Q9081,knowledge
Q3676186,kuymak
Q202581,label
Q483242,laboratory
Q6468673,lack
Q1378024,lady
Q23397,lake
Q2085066,land
Q107425,landscape
Q315,language
Q1276686,lap
Q1069931,last
Q659600,launch
Q7748,law
Q207766,lawn
Q697327,lawsuit
Q40348,lawyer
Q708,lead
Q1251441,leader
Q484275,leadership
Q1968967,leading
Q33971,leaf
Q660818,league
Q899641,lean
Q133500,learning
Q286,leather
Q13196750,left
Q133105,leg
Q1812346,legacy
Q44342,legend
Q49371,legislation
Q1093742,lemon
Q36253,length
Q345096,less
Q379833,lesson
Q133492,letter
Q9788,letter
Q1046315,level
Q182436,librarian
Q7075,library
Q79719,license
Q4925193,lie
Q3,life
Q32090,lifestyle
Q194433,lift
Q9128,light
Q3249878,like
Q177239,limit
Q37105,line
Q14467526,linguist
Q1577757,link
Q15173,lip
Q27948,list
Q6673651,literary
Q8242,literature
Q913999,load
Q189539,loan
Q105731,lock
Q56274009,looking
Q246868,lot
Q316,love
Q1970348,luck
Q12896105,lunch
Q7886,lung
Q11019,machine
Q41298,magazine
Q500062,magnitude
Q49845,mail
Q906409,maintenance
Q983927,major
Q7382648,majority
Q300867,make
Q8441,man
Q2920921,management
Q721834,manager
Q13235160,manufacturer
Q187939,manufacturing
Q4006,map
Q7695,march
Q625360,margin
Q4281830,mark
Q37654,market
Q39809,marketing
Q8445,marriage
Q161524,mask
Q11423,mass
Q4233220,master
Q37507,match
Q214609,material
Q35758,matter
Q30185,mayor
Q2796622,mean
Q183046,meaning
Q192276,measure
Q12453,measurement
Q10990,meat
Q517596,mechanism
Q12140,medication
Q11190,medicine
Q583271,medium
Q2761147,meeting
Q9200127,member
Q492,memory
Q658274,menu
Q1421509,mere
Q443767,mess
Q628523,message
Q11426,metal
Q630649,meter
Q1799072,method
Q815844,method
Q17525443,middle
Q8473,military
Q8495,milk
Q450,mind
Q820477,mine
Q83307,minister
Q170079,minor
Q7727,minute
Q170774,miracle
Q35197,mirror
Q974850,missile
Q51647,mission
Q3732574,mistake
Q169336,mixture
Q188224,mode
Q1979154,model
Q3436010,moderate
Q638982,moment
Q1368,money
Q137823,monitor
Q5151,month
Q331769,mood
Q235282,moral
Q253509,more
Q7722,morning
Q184260,mortgage
Q7560,mother
Q79782,motion
Q644302,motivation
Q14710,mount
Q8502,mountain
Q7987,mouse
Q9635,mouth
Q929848,movement
Q1055293,multiple
Q132821,murder
Q33506,museum
Q638,music
Q1643514,music arranger
Q2743,musical
Q2188189,musical work
Q639669,musician
Q278818,must
Q1247195,mystery
Q12827256,myth
Q82799,name
Q1318295,narrative
Q58363586,narrator
Q6266,nation
Q7860,nature
Q9633,neck
Q190258,need
Q595597,negative
Q202875,negotiation
Q3924150,neighbor
Q123705,neighborhood
Q9620,nerve
Q32032,net
Q173106,network
Q38926,news
Q11032,newspaper
Q1050563,nice
Q575,night
Q41191,no
Q518390,nod
Q179448,noise
Q1156895,nomination
Q659,north
Q7363,nose
Q263478,note
Q154242,nothing
Q7063001,notice
Q595523,notion
Q8261,novel
Q11563,number
Q186360,nurse
Q11009,nut
Q175026,object
Q3880557,objective
Q2648051,obligation
Q193181,observation
Q3348297,observer
Q528892,occupation
Q9430,ocean
Q515895,odds
Q1456832,offense
Q182060,office
Q4002659,officer
Q599151,official
Q42962,oil
Q3352140,one
Q73368,online
Q2025821,opening
Q362482,operation
Q131030,operator
Q3962655,opinion
Q105562,opposition
Q187860,option
Q13191,orange
Q36602,order
Q1076566,ordinary
Q43229,organization
Q1052451,orientation
Q3885844,origin
Q1433373,other
Q104421475,other Donald Trump
Q27947481,other Donald Trump
Q1153773,out
Q17104930,outcome
Q36539,oven
Q1210093,over
Q691543,pace
Q1758639,pack
Q361698,page
Q81938,pain
Q174219,paint
Q1028181,painter
Q3305213,painting
Q2046512,pair
Q593676,pale
Q2001588,palm
Q938236,panel
Q11472,paper
Q7566,parent
Q22698,park
Q267917,parking
Q7401,part
Q1773152,participation
Q7140693,partner
Q728646,partnership
Q200538,party
Q6095429,pass
Q319604,passenger
Q335046,passion
Q192630,past
Q208218,patch
Q817765,path
Q170212,patient
Q738168,pattern
Q1640172,pay
Q1148747,payment
Q454,peace
Q2068602,penalty
Q2472587,people
Q3143131,pepper
Q160402,perception
Q625420,perfect
Q35140,performance
Q101843,period
Q3312801,permit
Q18028810,perpetrator
Q215627,person
Q641118,personality
Q188968,perspective
Q39201,pet
Q104837,phase
Q483247,phenomenon
Q5891,philosophy
Q202064,phone
Q125191,photograph
Q33231,photographer
Q11633,photography
Q187931,phrase
Q39631,physician
Q5994,piano
Q13360264,pie
Q2360918,piece
Q2397733,pile
Q1417516,pilot
Q1503211,pine
Q429220,pink
Q41551,pipe
Q118819,pitch
Q1794067,place
Q611203,plan
Q17285,plane
Q634,planet
Q309100,planning
Q756,plant
Q11474,plastic
Q57216,plate
Q666258,platform
Q25379,play
Q4197743,player
Q96399581,please
Q208195,pleasure
Q1474611,plot
Q321767,pocket
Q482,poetry
Q44946,point
Q2180428,pole
Q35535,police
Q1156854,policy
Q82955,politician
Q7163,politics
Q58734,pollution
Q11020,pool
Q60322905,pop
Q175385,population
Q816741,porch
Q44782,port
Q134307,portrait
Q1671968,pose
Q739168,position
Q2095727,pot
Q10998,potato
Q1202245,potential
Q100995,pound
Q10294,poverty
Q2374066,powder
Q25107,power
Q334600,practice
Q40953,prayer
Q29017578,predator
Q1285463,prefect
Q908656,preference
Q1490716,pregnancy
Q19833559,preparation
Q1179073,prescription
Q193168,present
Q604733,presentation
Q1255921,president
Q30461,president
Q39552,pressure
Q160151,price
Q3071551,pride
Q42603,priest
Q914681,prime
Q13365589,principal
Q211364,principle
Q11060274,print
Q830337,prior
Q40357,prison
Q1862087,prisoner
Q188728,privacy
Q158668,private
Q621184,problem
Q15262084,procedure
Q205663,process
Q1913301,produce
Q47541952,producer
Q542929,product
Q663143,production
Q28640,profession
Q702269,professional
Q121594,professor
Q4382010,profile
Q2112073,profit
Q247792,progress
Q170584,project
Q1425577,promise
Q516021,proof
Q3120038,proper
Q636109,property
Q47694,proportion
Q6501319,proposal
Q600751,prosecutor
Q2251595,protection
Q8054,protein
Q273120,protest
Q34876,province
Q703087,provision
Q212980,psychologist
Q9418,psychology
Q2388316,public
Q732577,publication
Q2085381,publisher
Q186361,punishment
Q231823,purpose
Q185957,quality
Q1150083,quarter
Q622747,quarterback
Q189756,question
Q483225,race
Q185056,radical
Q872,radio
Q633423,rail
Q7925,rain
Q905424,range
Q656784,rank
Q736288,rate
Q3481047,ratio
Q489398,reach
Q343546,reaction
Q1433533,reader
Q199657,reading
Q9510,reality
Q178354,reason
Q18733,recall
Q219239,recipe
Q3422036,recognition
Q1241356,record
Q13557414,recording
Q444184,recovery
Q3142,red
Q912546,reduction
Q121769,reference
Q165939,reflection
Q900406,reform
Q131572,refugee
Q5589178,regime
Q286576,register
Q428148,regulation
Q203066,relation
Q9174,religion
Q2566598,religious
Q10870555,report
Q42909,reporter
Q1272626,representation
Q774228,requirement
Q42240,research
Q1650915,researcher
Q1937518,reservation
Q11349590,resist
Q3088430,resistance
Q1051925,resolution
Q875157,resort
Q1554231,resource
Q28510,respect
Q7315941,respondent
Q1274115,responsibility
Q879844,rest
Q11707,restaurant
Q1308999,restriction
